,负面情感词语（中文）,正面情感词语（中文）,中性情感词语（中文）
麻,1.0,0.0,0.0
瞎,1.0,0.0,0.0
骄横,1.0,0.0,0.0
造作,1.0,0.0,0.0
黠,1.0,0.0,0.0
谐调,0.0,1.0,0.0
萧,1.0,0.0,0.0
近视,1.0,0.0,0.0
叩头,0.0,1.0,0.0
细密,0.0,1.0,0.0
超凡入圣,0.0,1.0,0.0
倜傥不羁,0.0,1.0,0.0
完美无瑕,0.0,1.0,0.0
朗,0.0,1.0,0.0
心痛,1.0,0.0,0.0
丁是丁，卯是卯,0.0,1.0,0.0
棘手,1.0,0.0,0.0
气忿忿,1.0,0.0,0.0
三思而后行,0.0,1.0,0.0
锋芒毕露,1.0,0.0,0.0
与世无争,1.0,0.0,0.0
担忧,1.0,0.0,0.0
清湛,0.0,1.0,0.0
下不来台,1.0,0.0,0.0
忧悒,1.0,0.0,0.0
瞠目结舌,1.0,0.0,0.0
利,0.0,1.0,0.0
丧尽天良,1.0,0.0,0.0
风刀霜剑,1.0,0.0,0.0
白,1.0,1.0,0.0
驯良,0.0,1.0,0.0
雄姿英发,0.0,1.0,0.0
恋爱,0.0,1.0,0.0
最坏,1.0,0.0,0.0
壮实,0.0,1.0,0.0
直性子,0.0,1.0,0.0
模糊,1.0,0.0,0.0
平淡,1.0,0.0,0.0
缺乏才智,1.0,0.0,0.0
尖利,0.0,1.0,0.0
孤傲,1.0,0.0,0.0
驳议,1.0,0.0,0.0
梼昧,1.0,0.0,0.0
谦虚谨慎,0.0,1.0,0.0
乱蓬蓬,1.0,0.0,0.0
一无所有,1.0,0.0,0.0
安然无事,0.0,1.0,0.0
木雕泥塑,1.0,0.0,0.0
坎坷,1.0,0.0,0.0
完好无损,0.0,1.0,0.0
守时间,0.0,1.0,0.0
徼,0.0,1.0,0.0
悚然,1.0,0.0,0.0
生长完全,0.0,1.0,0.0
顺理成章,0.0,1.0,0.0
骁,0.0,1.0,0.0
繁乱,1.0,0.0,0.0
厌腻,1.0,0.0,0.0
素昧平生,1.0,0.0,0.0
谦恭,0.0,1.0,0.0
面如死灰,1.0,0.0,0.0
哈,0.0,1.0,0.0
祝,0.0,1.0,0.0
呵斥,1.0,0.0,0.0
简洁,0.0,1.0,0.0
释放善意,0.0,1.0,0.0
安然,0.0,1.0,0.0
